plotlocation,x,y,longitude,latitude
LII J.5 8,188617.9943,1997377.976,-77.94103456,18.04262297
LII K 7.5,188590.4324,1997397.21,-77.94129752,18.04279263
LII K 7,188564.2022,1997396.374,-77.9415449,18.04278132
LII J.5 7,188563.2304,1997376.969,-77.94155115,18.04260602
LII K 6.5,188536.4123,1997394.516,-77.94180684,18.04276055
LII K 6,188515.3313,1997401.362,-77.94200679,18.04281932
LII J.5 6,188518.8615,1997380.22,-77.94197031,18.04262898
LII K 5.5,188483.6891,1997401.839,-77.94230544,18.04281908
LII K 5,188458.404,1997401.266,-77.94254394,18.04281027
LII L 5,188460.2638,,-77.94253359,18.04324285
LII L 5.5,188486.465,1997453.531,-77.94228701,18.04328608
LII L 6,188511.1044,1997447.417,-77.94205359,18.04323444
LII K.5 6,188510.9333,1997424.128,-77.94205171,18.04302419
LII L 6.5,188535.6342,1997451.841,-77.9418228,18.04327789
LII L 7,188558.0766,1997452.485,-77.94161113,18.04328693
LII K.5 7,188560.1097,1997423.01,-77.94158752,18.04302117
LII L 7.5,188586.5522,1997447.833,-77.94134173,18.04324903
LII L 8,188612.6778,1997450.602,-77.94109563,18.04327777
LII K.5 8,188615.8434,1997426.132,-77.94106208,18.04305735
LII L 8.5,188630.2057,1997451.502,-77.94093037,18.04328842
LII L 9,188657.2682,1997451.62,-77.94067502,18.04329337
LII K.5 9,188663.305,1997423.357,-77.94061382,18.04303912
LII L 9.5,188678.6184,1997457.7,-77.94047448,18.04335132
LII L 10,188701.8183,1997449.078,-77.94025427,18.04327682
LII L 10.5,188724.3473,1997455.79,-77.94004269,18.04334064
LII L 11,188747.8724,1997458.112,-77.93982106,18.04336498
MI A.5 1.5,189034.3644,1996690.593,-77.93700264,18.03647796
MI A 2,189059.115,1996667.374,-77.93676562,18.03627192
MI A.5 1,189010.2991,1996685.532,-77.93722896,18.03642883
MI B 1,189001.8978,1996702.381,-77.93731075,18.03657971
MI B 1.5,189022.2885,1996712.77,-77.93711991,18.03667642
MI B 2,189049.3655,1996724.86,-77.93686623,18.03678943
MI A.5 2,189060.6859,1996697.543,-77.93675532,18.03654447
MI B 2.5,189069.5479,1996729.549,-77.9366765,18.03683465
MI B.5 2,189037.6308,1996748.193,-77.93698045,18.03699836
MI B.5 1,188992.7125,1996727.7,-77.93740122,18.03680694
MI C 2,189029.0294,1996773.762,-77.93706545,18.03722793
MI C 2.5,189054.2489,1996778.085,-77.93682813,18.03727058
MI C.5 2.5,189044.8898,1996791.903,-77.93691851,18.03739396
MI C.5 2,189021.4197,1996795.296,-77.93714048,18.03742122
MI D 2,189013.2131,1996809.348,-77.93722002,18.03754689
MI D 2.5,189034.477,1996820.317,-77.93702102,18.03764895
MI D 3,189056.7687,1996828.565,-77.93681192,18.0377266
MI D.5 3,189046.2053,1996856.365,-77.93691576,18.03797603
MI D.5 3.5,189065.0853,1996865.526,-77.93673899,18.03806142
MI D.5 2.5,189023.8743,1996845.798,-77.93712489,18.03787744
MI E 2,188992.2525,1996859.238,-77.93742528,18.03799422
MI E 2.5,189018.3056,1996869.729,-77.93718102,18.03809266
MI E 3,189038.8488,1996877.417,-77.93698833,18.038165
MI E 3.5,189058.704,1996889.548,-77.9368028,18.03827736
MI E.5 3,189025.331,1996902.947,-77.93711971,18.03839351
MI E.5 2.5,189004.3171,1996894.924,-77.93731679,18.03831808
MI E.5 2,188985.6391,1996883.43,-77.93749131,18.03821165
MI F 2.5,188991.2022,1996919.632,-77.93744424,18.03853923
MI F 3,189012.0677,1996930.825,-77.93724904,18.03864326
MI F 3.5,189040.0861,1996935.287,-77.93698533,18.03868755
MI F 4,189063.2552,1996943.444,-77.93676794,18.0387645
MI F.5 4,189056.4311,1996968.113,-77.93683603,18.0389862
MI F.5 2.5,188980.6442,1996941.978,-77.93754722,18.03873942
MI G 2,188949.8008,1996952.791,-77.93783987,18.03883261
